               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 151,            0.018928,           0.0098224,                   0,             0.99838,             0.88889,             0.97532,             0.82334,           0.0059349,           0.0028674,                   0,               0.006,               0.006,               0.006
                 152,            0.021861,            0.012025,                   0,             0.99886,             0.88889,             0.97535,             0.74867,           0.0069138,           0.0031115,                   0,           0.0059581,           0.0059581,           0.0059581
                 153,            0.022458,            0.010621,                   0,             0.99968,             0.88889,             0.97536,             0.76132,            0.011042,            0.003049,                   0,           0.0059162,           0.0059162,           0.0059162
                 154,            0.021397,           0.0084689,                   0,             0.99768,             0.88889,             0.97536,             0.76006,           0.0084645,           0.0029382,                   0,           0.0058744,           0.0058744,           0.0058744
                 155,            0.021955,            0.010552,                   0,             0.89989,                   1,             0.98438,             0.89946,           0.0068161,           0.0026458,                   0,           0.0058325,           0.0058325,           0.0058325
                 156,            0.019008,            0.010071,                   0,             0.89999,             0.99993,             0.98442,             0.85865,           0.0055865,           0.0025507,                   0,           0.0057907,           0.0057907,           0.0057907
                 157,             0.01861,           0.0096588,                   0,                 0.9,             0.99995,             0.98449,             0.86347,           0.0064218,           0.0026525,                   0,           0.0057488,           0.0057488,           0.0057488
                 158,            0.017876,           0.0093517,                   0,             0.89999,             0.99988,              0.9846,             0.86963,           0.0082117,            0.002787,                   0,            0.005707,            0.005707,            0.005707
                 159,            0.020642,           0.0097136,                   0,              0.8999,                   1,             0.97354,             0.82099,           0.0080607,           0.0027813,                   0,           0.0056653,           0.0056653,           0.0056653
                 160,            0.017353,           0.0085097,                   0,             0.89999,             0.99989,             0.94051,             0.86678,           0.0056022,           0.0027847,                   0,           0.0056236,           0.0056236,           0.0056236
                 161,             0.01795,           0.0093837,                   0,             0.89998,             0.99979,             0.90731,             0.81394,           0.0055643,           0.0026638,                   0,           0.0055819,           0.0055819,           0.0055819
                 162,            0.018509,            0.010991,                   0,             0.89998,             0.99979,             0.89575,             0.79944,           0.0052313,           0.0029465,                   0,           0.0055403,           0.0055403,           0.0055403
                 163,            0.018609,           0.0089767,                   0,             0.83297,             0.55556,             0.56822,             0.48479,            0.010265,            0.014627,                   0,           0.0054987,           0.0054987,           0.0054987
